account_id,checking_status,credit_history,employment,age,sex,credit_amount,housing,existing_credits,savings_status,credit_defaults
ACC000000000028,no checking,existing paid,>=7,33,M,1261,own,1,no known savings,1
ACC000000000029,no checking,existing paid,1<=X<4,34,M,900,own,1,<100,0
ACC000000000030,no checking,no credits/all paid,1<=X<4,50,F,2459,rent,2,100<=X<500,0
ACC000000000031,no checking,critical/other existing credit,>=7,44,M,1705,own,1,100<=X<500,0
ACC000000000032,<0,existing paid,>=7,47,M,7213,own,2,<100,0
ACC000000000033,<0,existing paid,>=7,20,F,1288,own,1,100<=X<500,0
ACC000000000034,no checking,critical/other existing credit,<1,24,M,605,own,2,<100,1
ACC000000000035,>=200,critical/other existing credit,>=7,22,F,1317,free,1,100<=X<500,0
ACC000000000036,no checking,critical/other existing credit,>=7,40,F,396,own,2,<100,0
ACC000000000037,no checking,existing paid,1<=X<4,46,F,2873,own,2,no known savings,0
ACC000000000038,no checking,existing paid,1<=X<4,35,F,8435,own,1,<100,0
ACC000000000039,>=200,critical/other existing credit,>=7,33,F,17499,rent,2,<100,0
ACC000000000040,no checking,critical/other existing credit,4<=X<7,35,F,1185,own,1,<100,0
ACC000000000041,0<=X<200,critical/other existing credit,1<=X<4,42,M,2648,free,2,500<=X<1000,1
ACC000000000042,0<=X<200,existing paid,1<=X<4,35,M,1869,free,2,<100,1
ACC000000000043,no checking,critical/other existing credit,<1,37,M,2788,free,2,<100,0
ACC000000000044,0<=X<200,existing paid,1<=X<4,44,F,1408,own,1,<100,0
ACC000000000045,no checking,existing paid,4<=X<7,24,M,2099,own,1,500<=X<1000,0
ACC000000000046,no checking,existing paid,1<=X<4,40,F,3212,own,1,500<=X<1000,0
ACC000000000047,no checking,critical/other existing credit,4<=X<7,46,M,12646,rent,1,no known savings,1
ACC000000000048,no checking,existing paid,1<=X<4,30,M,596,own,1,<100,0
ACC000000000050,no checking,critical/other existing credit,>=7,55,M,2544,own,1,<100,0
ACC000000000051,<0,critical/other existing credit,<1,26,M,5994,free,1,<100,1
ACC000000000052,no checking,existing paid,1<=X<4,41,M,7621,free,2,<100,0
ACC000000000053,<0,existing paid,>=7,38,F,611,rent,1,500<=X<1000,0
ACC000000000054,<0,existing paid,1<=X<4,36,M,1018,own,2,<100,0
ACC000000000055,>=200,existing paid,>=7,23,F,1720,own,1,<100,0
ACC000000000056,0<=X<200,existing paid,1<=X<4,30,M,549,own,1,<100,0
ACC000000000057,<0,critical/other existing credit,4<=X<7,35,M,3276,own,1,no known savings,1
ACC000000000058,0<=X<200,delayed previously,>=7,28,F,1509,own,1,>=1000,1
ACC000000000059,<0,no credits/all paid,4<=X<7,46,M,3772,own,1,<100,1
ACC000000000060,<0,existing paid,1<=X<4,55,F,1890,own,1,no known savings,0
ACC000000000061,0<=X<200,all paid,<1,28,F,2880,own,1,100<=X<500,0
ACC000000000062,>=200,existing paid,4<=X<7,35,M,1500,own,1,no known savings,0
ACC000000000064,no checking,existing paid,1<=X<4,40,F,4351,own,2,no known savings,1
ACC000000000065,no checking,critical/other existing credit,<1,47,M,1648,own,1,<100,0
ACC000000000066,no checking,delayed previously,>=7,19,M,1995,own,1,100<=X<500,0
ACC000000000067,no checking,existing paid,4<=X<7,45,M,3996,rent,1,100<=X<500,0
ACC000000000068,0<=X<200,critical/other existing credit,>=7,37,M,3901,own,1,>=1000,1
ACC000000000069,<0,critical/other existing credit,1<=X<4,44,F,2191,rent,1,<100,1
ACC000000000070,no checking,no credits/all paid,>=7,27,M,4833,own,1,no known savings,0
ACC000000000071,0<=X<200,existing paid,>=7,33,M,1499,free,1,100<=X<500,0
ACC000000000072,0<=X<200,critical/other existing credit,1<=X<4,43,M,1901,own,2,<100,1
ACC000000000073,>=200,existing paid,1<=X<4,43,M,1903,own,1,<100,1
ACC000000000074,<0,existing paid,4<=X<7,38,M,4305,own,1,<100,0
ACC000000000076,<0,critical/other existing credit,1<=X<4,20,M,2472,rent,1,<100,1
ACC000000000077,no checking,no credits/all paid,1<=X<4,28,M,6547,own,1,<100,0
ACC000000000078,0<=X<200,existing paid,<1,19,F,1816,own,2,no known savings,1
ACC000000000079,<0,all paid,>=7,49,F,4066,own,1,100<=X<500,0
ACC000000000080,no checking,existing paid,1<=X<4,42,F,7591,own,2,<100,0
ACC000000000081,<0,existing paid,1<=X<4,41,M,2194,own,3,no known savings,0
ACC000000000082,<0,existing paid,<1,20,M,799,own,1,>=1000,1
ACC000000000083,<0,delayed previously,1<=X<4,40,F,923,own,1,<100,1
ACC000000000084,0<=X<200,critical/other existing credit,>=7,19,M,1428,rent,1,no known savings,0
ACC000000000085,<0,existing paid,<1,68,M,8123,own,2,<100,0
ACC000000000086,0<=X<200,existing paid,>=7,34,M,250,free,1,no known savings,0
ACC000000000087,<0,existing paid,<1,36,M,1759,free,1,100<=X<500,0
ACC000000000088,no checking,critical/other existing credit,<1,54,M,5422,own,1,<100,0
ACC000000000089,<0,existing paid,>=7,22,M,4177,own,2,<100,1
ACC000000000090,no checking,critical/other existing credit,<1,33,M,2258,own,1,<100,1
ACC000000000091,<0,all paid,4<=X<7,45,M,2294,own,1,<100,0
ACC000000000092,>=200,all paid,unemployed,66,M,540,own,1,<100,0
ACC000000000093,<0,existing paid,1<=X<4,38,M,625,free,2,<100,1
ACC000000000094,0<=X<200,critical/other existing credit,1<=X<4,53,F,929,own,1,>=1000,1
ACC000000000095,<0,existing paid,1<=X<4,47,F,7618,free,1,no known savings,1
ACC000000000096,no checking,no credits/all paid,<1,27,M,1924,own,1,100<=X<500,0
ACC000000000097,no checking,no credits/all paid,>=7,19,M,5289,own,1,500<=X<1000,0
ACC000000000098,0<=X<200,existing paid,>=7,31,M,3270,own,1,<100,0
ACC000000000100,no checking,no credits/all paid,>=7,41,F,5217,own,1,no known savings,0
ACC000000000101,no checking,critical/other existing credit,>=7,44,F,692,own,1,>=1000,0
ACC000000000102,>=200,existing paid,1<=X<4,29,M,1810,free,1,no known savings,0
ACC000000000103,no checking,no credits/all paid,>=7,21,M,2631,own,2,no known savings,0
ACC000000000104,<0,existing paid,>=7,21,M,4513,own,2,<100,1
ACC000000000105,no checking,existing paid,<1,45,M,1758,own,1,100<=X<500,0
ACC000000000106,0<=X<200,no credits/all paid,1<=X<4,34,F,2341,own,1,<100,0
ACC000000000107,>=200,existing paid,4<=X<7,34,F,4709,own,1,<100,0
ACC000000000108,no checking,critical/other existing credit,>=7,51,M,1031,own,2,no known savings,0
ACC000000000109,0<=X<200,critical/other existing credit,4<=X<7,19,M,2603,own,1,<100,1
ACC000000000110,<0,existing paid,<1,32,M,8175,own,1,100<=X<500,1
ACC000000000111,0<=X<200,existing paid,>=7,41,M,1417,own,1,500<=X<1000,0
ACC000000000112,no checking,existing paid,<1,27,M,4129,free,1,<100,0
ACC000000000113,<0,existing paid,4<=X<7,24,F,3601,rent,1,no known savings,0
ACC000000000114,no checking,existing paid,>=7,47,M,1184,own,2,<100,0
ACC000000000115,no checking,critical/other existing credit,<1,51,M,1721,free,2,<100,0
ACC000000000116,no checking,existing paid,1<=X<4,32,M,2159,free,1,<100,1
ACC000000000117,0<=X<200,delayed previously,>=7,40,M,2427,own,2,100<=X<500,0
ACC000000000118,0<=X<200,existing paid,>=7,45,F,1687,own,1,<100,1
ACC000000000119,0<=X<200,existing paid,unemployed,39,M,8373,own,1,<100,0
ACC000000000120,no checking,existing paid,4<=X<7,43,M,11118,free,1,<100,1
ACC000000000121,no checking,critical/other existing credit,>=7,24,F,2672,own,2,<100,0
ACC000000000123,0<=X<200,existing paid,>=7,28,M,1057,own,1,>=1000,0
ACC000000000124,no checking,existing paid,>=7,35,F,1101,own,1,<100,0
ACC000000000125,no checking,critical/other existing credit,1<=X<4,19,M,337,rent,1,>=1000,1
ACC000000000126,0<=X<200,critical/other existing credit,<1,32,M,1429,rent,1,<100,1
ACC000000000127,0<=X<200,existing paid,unemployed,30,F,1186,own,1,<100,1
ACC000000000128,no checking,existing paid,1<=X<4,20,M,2492,own,1,100<=X<500,0
ACC000000000129,0<=X<200,existing paid,1<=X<4,36,M,1367,own,2,<100,1
ACC000000000130,no checking,existing paid,1<=X<4,31,M,2128,own,1,no known savings,0
ACC000000000131,0<=X<200,critical/other existing credit,4<=X<7,48,M,2398,rent,2,<100,1
ACC000000000132,0<=X<200,critical/other existing credit,1<=X<4,45,M,2917,free,1,no known savings,1
ACC000000000133,0<=X<200,existing paid,>=7,27,F,4874,own,1,<100,0
ACC000000000134,0<=X<200,existing paid,>=7,49,M,1893,own,2,>=1000,0
ACC000000000135,<0,existing paid,>=7,40,F,3828,own,2,<100,0
ACC000000000136,no checking,critical/other existing credit,>=7,45,M,2863,own,1,no known savings,0
ACC000000000137,<0,existing paid,1<=X<4,48,M,3353,own,2,<100,0
ACC000000000138,no checking,critical/other existing credit,<1,35,M,965,own,1,no known savings,0
ACC000000000139,no checking,critical/other existing credit,1<=X<4,48,F,4381,own,2,>=1000,0
ACC000000000140,no checking,critical/other existing credit,<1,44,M,4944,own,1,<100,1
ACC000000000141,no checking,all paid,1<=X<4,41,F,588,own,2,100<=X<500,0
ACC000000000142,0<=X<200,critical/other existing credit,>=7,25,F,2039,rent,1,>=1000,0
ACC000000000143,<0,existing paid,1<=X<4,40,F,3502,own,1,100<=X<500,1
ACC000000000144,>=200,existing paid,>=7,39,M,1538,rent,1,>=1000,0
ACC000000000145,<0,no credits/all paid,>=7,56,F,6974,own,1,no known savings,0
ACC000000000146,no checking,existing paid,>=7,33,F,7871,own,1,500<=X<1000,0
ACC000000000147,<0,existing paid,1<=X<4,32,F,573,own,1,no known savings,0
ACC000000000148,<0,existing paid,unemployed,35,M,8129,own,1,<100,1
ACC000000000150,<0,delayed previously,4<=X<7,33,M,3494,own,2,<100,0
ACC000000000151,<0,critical/other existing credit,>=7,38,M,334,free,1,<100,0
ACC000000000152,no checking,existing paid,unemployed,40,M,3124,own,1,<100,0
ACC000000000153,no checking,existing paid,>=7,34,M,932,own,1,<100,1
ACC000000000154,<0,critical/other existing credit,4<=X<7,31,F,3125,own,1,100<=X<500,1
ACC000000000155,<0,existing paid,4<=X<7,35,M,419,own,1,<100,1
ACC000000000156,0<=X<200,no credits/all paid,>=7,26,F,1998,free,1,no known savings,0
ACC000000000157,<0,existing paid,1<=X<4,20,M,860,own,1,<100,1
ACC000000000158,no checking,critical/other existing credit,<1,30,F,2147,free,1,500<=X<1000,0
ACC000000000159,>=200,existing paid,>=7,38,M,1715,own,1,<100,0
ACC000000000160,0<=X<200,existing paid,1<=X<4,50,F,874,own,1,100<=X<500,0
ACC000000000161,no checking,all paid,1<=X<4,24,M,2324,own,2,<100,0
ACC000000000162,no checking,existing paid,>=7,37,M,1282,own,1,500<=X<1000,0
ACC000000000163,0<=X<200,existing paid,1<=X<4,20,M,1253,own,2,<100,0
ACC000000000164,<0,existing paid,<1,34,F,689,free,1,<100,1
ACC000000000165,<0,existing paid,<1,19,M,2515,free,1,>=1000,0
ACC000000000166,<0,existing paid,<1,47,M,6479,own,1,<100,0
ACC000000000167,0<=X<200,delayed previously,1<=X<4,44,M,2316,free,1,<100,0
ACC000000000168,>=200,critical/other existing credit,>=7,35,F,1579,own,2,100<=X<500,1
ACC000000000169,no checking,existing paid,>=7,49,F,3733,own,2,<100,0
ACC000000000170,<0,existing paid,<1,42,F,2151,own,3,500<=X<1000,0
ACC000000000172,0<=X<200,existing paid,>=7,47,M,1478,free,1,no known savings,0
ACC000000000174,0<=X<200,delayed previously,1<=X<4,25,M,888,free,1,<100,0
ACC000000000175,<0,critical/other existing credit,>=7,38,M,1424,own,1,<100,1
ACC000000000176,<0,existing paid,unemployed,32,M,5800,rent,1,>=1000,1
ACC000000000177,no checking,all paid,1<=X<4,45,M,2173,free,2,<100,0
ACC000000000178,<0,critical/other existing credit,>=7,37,M,1681,own,2,<100,1
ACC000000000180,no checking,critical/other existing credit,1<=X<4,45,M,852,own,1,<100,0
ACC000000000181,0<=X<200,existing paid,>=7,36,M,1592,own,1,<100,0
ACC000000000182,<0,existing paid,4<=X<7,34,M,4724,own,1,>=1000,0
ACC000000000183,<0,no credits/all paid,>=7,67,M,562,rent,1,<100,1
ACC000000000184,<0,critical/other existing credit,4<=X<7,32,M,2271,own,2,<100,1
ACC000000000185,<0,existing paid,4<=X<7,70,M,436,rent,2,<100,1
ACC000000000186,no checking,existing paid,1<=X<4,43,F,381,rent,1,<100,0
ACC000000000187,no checking,critical/other existing credit,<1,38,F,4478,own,3,<100,1
ACC000000000188,no checking,critical/other existing credit,>=7,45,M,1416,own,2,<100,1
ACC000000000189,no checking,delayed previously,>=7,25,M,1351,free,1,<100,0
ACC000000000190,no checking,existing paid,1<=X<4,25,F,4138,own,1,<100,0
ACC000000000191,no checking,critical/other existing credit,<1,43,F,4986,own,1,<100,0
ACC000000000192,0<=X<200,critical/other existing credit,unemployed,30,M,4392,own,1,<100,1
ACC000000000194,<0,existing paid,1<=X<4,53,M,1457,own,1,<100,1
ACC000000000195,0<=X<200,existing paid,<1,22,F,1199,own,2,500<=X<1000,0
ACC000000000196,no checking,delayed previously,4<=X<7,20,M,915,own,1,no known savings,0
ACC000000000198,>=200,critical/other existing credit,1<=X<4,22,F,783,own,1,100<=X<500,1
ACC000000000200,no checking,delayed previously,>=7,36,F,2708,own,1,100<=X<500,0
ACC000000000201,no checking,existing paid,4<=X<7,46,M,1918,own,1,<100,0
ACC000000000202,no checking,critical/other existing credit,>=7,53,M,2723,own,1,no known savings,0
ACC000000000203,no checking,critical/other existing credit,>=7,50,M,3292,own,1,<100,0
ACC000000000204,no checking,critical/other existing credit,4<=X<7,32,M,1592,free,2,<100,0
ACC000000000205,<0,existing paid,1<=X<4,45,M,790,own,2,500<=X<1000,0
ACC000000000206,<0,existing paid,1<=X<4,36,M,3546,own,1,500<=X<1000,0
ACC000000000207,>=200,existing paid,>=7,47,M,1556,own,2,100<=X<500,0
ACC000000000208,no checking,existing paid,1<=X<4,38,M,3030,own,1,<100,0
ACC000000000209,no checking,critical/other existing credit,>=7,37,M,892,free,1,<100,1
ACC000000000210,<0,existing paid,1<=X<4,35,F,1398,own,2,no known savings,0
ACC000000000211,>=200,existing paid,1<=X<4,50,M,3715,own,1,<100,0
ACC000000000212,no checking,existing paid,1<=X<4,43,M,2462,own,1,<100,0
ACC000000000215,>=200,critical/other existing credit,1<=X<4,34,F,952,own,2,no known savings,1
ACC000000000216,no checking,existing paid,1<=X<4,40,M,2579,own,1,<100,0
ACC000000000217,<0,existing paid,>=7,19,M,1496,own,1,<100,1
ACC000000000218,0<=X<200,existing paid,unemployed,51,F,4877,rent,1,100<=X<500,0
ACC000000000219,<0,existing paid,<1,35,F,5272,own,1,<100,1
ACC000000000221,<0,existing paid,1<=X<4,39,F,6892,own,1,500<=X<1000,1
ACC000000000222,0<=X<200,no credits/all paid,1<=X<4,44,M,2458,own,1,<100,0
ACC000000000223,no checking,existing paid,4<=X<7,32,M,2386,own,2,<100,0
ACC000000000224,no checking,existing paid,>=7,37,M,474,own,1,<100,0
ACC000000000225,<0,existing paid,1<=X<4,72,M,1823,free,1,<100,0
ACC000000000226,0<=X<200,existing paid,>=7,56,M,2379,rent,1,no known savings,0
ACC000000000227,<0,critical/other existing credit,<1,32,F,2877,own,2,no known savings,1
ACC000000000228,no checking,delayed previously,4<=X<7,19,M,955,own,2,<100,0
ACC000000000229,0<=X<200,existing paid,1<=X<4,30,M,1376,own,1,500<=X<1000,0
ACC000000000231,<0,critical/other existing credit,<1,39,M,4643,own,1,500<=X<1000,1
ACC000000000232,0<=X<200,existing paid,<1,60,M,250,own,1,<100,1
ACC000000000233,no checking,critical/other existing credit,>=7,31,F,3215,own,1,<100,0
ACC000000000234,no checking,critical/other existing credit,1<=X<4,44,F,5232,own,1,<100,0
ACC000000000235,0<=X<200,existing paid,1<=X<4,53,M,1536,free,1,<100,0
ACC000000000236,<0,all paid,1<=X<4,49,M,3224,own,2,100<=X<500,0
ACC000000000237,<0,existing paid,>=7,39,M,3670,own,1,<100,0
ACC000000000240,no checking,existing paid,>=7,32,F,356,free,2,<100,0
ACC000000000241,no checking,existing paid,<1,33,M,8425,rent,1,no known savings,0
ACC000000000243,0<=X<200,critical/other existing credit,4<=X<7,49,M,1384,own,1,100<=X<500,0
ACC000000000244,<0,existing paid,4<=X<7,38,M,864,own,1,500<=X<1000,1
ACC000000000245,<0,critical/other existing credit,>=7,51,M,3863,own,2,no known savings,0
ACC000000000246,no checking,existing paid,>=7,20,M,678,own,1,100<=X<500,0
ACC000000000247,<0,critical/other existing credit,1<=X<4,42,F,1614,free,1,<100,1
ACC000000000248,no checking,existing paid,unemployed,46,M,2568,own,1,<100,0
ACC000000000249,0<=X<200,existing paid,>=7,21,M,3847,own,2,500<=X<1000,0
ACC000000000250,no checking,delayed previously,>=7,38,F,1660,own,2,<100,0
ACC000000000251,>=200,critical/other existing credit,4<=X<7,42,M,757,own,1,<100,1
ACC000000000252,no checking,critical/other existing credit,1<=X<4,21,M,1618,own,1,<100,0
ACC000000000253,0<=X<200,delayed previously,4<=X<7,34,M,1099,own,1,no known savings,0
ACC000000000254,no checking,existing paid,>=7,29,M,2346,own,1,<100,0
ACC000000000255,no checking,existing paid,1<=X<4,34,M,6801,own,2,<100,1
ACC000000000256,no checking,existing paid,1<=X<4,34,F,1803,own,1,no known savings,1
ACC000000000257,no checking,critical/other existing credit,unemployed,38,F,537,own,2,<100,0
ACC000000000258,0<=X<200,existing paid,<1,44,M,1706,free,1,<100,1
ACC000000000259,no checking,existing paid,>=7,23,M,1114,free,1,100<=X<500,0
ACC000000000260,<0,no credits/all paid,unemployed,30,M,1796,own,2,<100,0
ACC000000000261,no checking,critical/other existing credit,>=7,41,M,384,free,2,>=1000,0
ACC000000000262,0<=X<200,delayed previously,<1,37,M,2796,rent,2,100<=X<500,0
ACC000000000263,no checking,existing paid,1<=X<4,27,F,1163,own,1,<100,0
ACC000000000264,no checking,delayed previously,1<=X<4,42,M,2524,free,2,no known savings,0
ACC000000000265,0<=X<200,critical/other existing credit,<1,43,F,6837,own,2,500<=X<1000,0
ACC000000000266,<0,existing paid,1<=X<4,37,M,998,own,1,100<=X<500,0
ACC000000000267,no checking,critical/other existing credit,>=7,19,M,2335,own,1,no known savings,0
ACC000000000268,0<=X<200,critical/other existing credit,1<=X<4,42,M,7551,free,1,100<=X<500,1
ACC000000000269,<0,existing paid,>=7,44,F,4254,own,3,500<=X<1000,0
ACC000000000270,no checking,existing paid,<1,41,M,8188,own,2,no known savings,0
ACC000000000271,no checking,existing paid,4<=X<7,45,M,1152,own,1,500<=X<1000,0
ACC000000000272,>=200,existing paid,>=7,36,M,685,free,1,<100,0
ACC000000000273,no checking,existing paid,<1,52,M,3572,own,1,<100,0
ACC000000000275,no checking,existing paid,1<=X<4,40,F,1715,own,1,<100,0
ACC000000000276,0<=X<200,critical/other existing credit,>=7,25,M,6538,rent,1,no known savings,1
ACC000000000279,<0,no credits/all paid,>=7,56,F,1577,own,3,100<=X<500,0
ACC000000000280,no checking,critical/other existing credit,4<=X<7,42,M,508,own,1,500<=X<1000,0
ACC000000000281,0<=X<200,existing paid,1<=X<4,19,M,581,free,1,<100,1
ACC000000000282,<0,existing paid,<1,48,M,1483,own,2,<100,1
ACC000000000283,no checking,delayed previously,4<=X<7,31,M,1904,own,2,<100,0
ACC000000000284,no checking,existing paid,1<=X<4,29,M,3621,own,1,100<=X<500,0
ACC000000000285,no checking,critical/other existing credit,>=7,21,F,1193,own,1,<100,0
ACC000000000287,<0,no credits/all paid,1<=X<4,23,M,1360,own,1,no known savings,1
ACC000000000289,>=200,existing paid,1<=X<4,21,M,1067,rent,1,<100,0
ACC000000000291,no checking,no credits/all paid,>=7,19,M,2056,own,2,no known savings,0
ACC000000000292,0<=X<200,existing paid,4<=X<7,27,M,662,own,2,500<=X<1000,0
ACC000000000293,<0,existing paid,4<=X<7,48,M,479,own,2,<100,1
ACC000000000295,0<=X<200,no credits/all paid,<1,35,M,1161,free,2,<100,1
ACC000000000296,no checking,existing paid,<1,40,M,1117,rent,1,100<=X<500,0
ACC000000000298,0<=X<200,critical/other existing credit,<1,38,M,975,own,1,no known savings,1
ACC000000000299,<0,existing paid,4<=X<7,40,M,733,free,1,100<=X<500,0
ACC000000000300,no checking,all paid,1<=X<4,32,M,1663,own,2,100<=X<500,0
ACC000000000301,no checking,existing paid,4<=X<7,48,F,4397,free,2,<100,0
ACC000000000303,0<=X<200,critical/other existing credit,>=7,53,M,1306,own,1,100<=X<500,0
ACC000000000304,no checking,existing paid,4<=X<7,31,F,737,rent,1,<100,0
ACC000000000305,<0,no credits/all paid,1<=X<4,45,M,1598,own,2,>=1000,0
ACC000000000306,no checking,existing paid,>=7,27,F,1213,own,1,<100,0
ACC000000000307,0<=X<200,existing paid,1<=X<4,42,F,1577,free,2,500<=X<1000,0
ACC000000000308,<0,existing paid,1<=X<4,64,F,1442,own,2,<100,0
ACC000000000309,<0,no credits/all paid,<1,36,F,1218,free,1,>=1000,0
ACC000000000310,no checking,existing paid,unemployed,31,F,814,rent,1,<100,0
ACC000000000311,no checking,no credits/all paid,1<=X<4,30,M,1091,own,1,<100,0
ACC000000000312,no checking,existing paid,1<=X<4,40,M,1078,own,1,<100,0
ACC000000000313,0<=X<200,no credits/all paid,>=7,38,M,18500,own,2,>=1000,1
ACC000000000314,0<=X<200,existing paid,1<=X<4,44,M,606,rent,2,<100,0
ACC000000000315,0<=X<200,existing paid,1<=X<4,38,M,2865,own,1,<100,1
ACC000000000316,0<=X<200,existing paid,unemployed,42,F,5276,own,1,500<=X<1000,1
ACC000000000317,no checking,critical/other existing credit,unemployed,19,F,4611,own,2,no known savings,1
ACC000000000318,no checking,critical/other existing credit,unemployed,24,M,9472,own,1,<100,0
ACC000000000319,no checking,existing paid,1<=X<4,46,F,4253,own,1,<100,1
ACC000000000320,no checking,no credits/all paid,4<=X<7,57,M,2458,rent,2,>=1000,0
ACC000000000321,no checking,existing paid,>=7,49,M,1187,free,1,no known savings,1
ACC000000000322,no checking,existing paid,1<=X<4,28,M,1073,free,1,100<=X<500,0
ACC000000000323,<0,existing paid,>=7,21,M,3766,own,1,<100,1
ACC000000000324,no checking,existing paid,<1,29,M,4257,rent,1,<100,0
ACC000000000325,0<=X<200,existing paid,unemployed,43,M,645,own,1,<100,1
ACC000000000326,<0,existing paid,1<=X<4,20,M,1157,own,1,no known savings,0
ACC000000000327,>=200,existing paid,unemployed,53,F,6412,own,2,<100,0
ACC000000000328,no checking,existing paid,4<=X<7,36,M,2229,own,1,<100,0
ACC000000000330,<0,existing paid,unemployed,51,F,671,own,2,<100,1
ACC000000000331,<0,existing paid,<1,27,M,870,own,1,>=1000,1
ACC000000000332,no checking,existing paid,1<=X<4,54,F,2759,own,1,<100,0
ACC000000000333,<0,existing paid,unemployed,49,M,1757,own,1,<100,0
ACC000000000334,no checking,critical/other existing credit,1<=X<4,40,M,1160,own,1,100<=X<500,0
ACC000000000335,0<=X<200,existing paid,1<=X<4,48,M,1665,own,1,<100,0
ACC000000000336,0<=X<200,critical/other existing credit,1<=X<4,20,M,968,own,1,<100,1
ACC000000000337,no checking,existing paid,<1,32,M,2679,free,1,<100,0
ACC000000000338,<0,no credits/all paid,1<=X<4,51,M,1603,rent,1,100<=X<500,0
ACC000000000339,<0,existing paid,1<=X<4,21,M,4582,rent,2,no known savings,1
ACC000000000340,0<=X<200,critical/other existing credit,1<=X<4,31,F,1876,own,2,100<=X<500,1
ACC000000000341,<0,existing paid,4<=X<7,34,M,577,own,1,<100,0
ACC000000000342,no checking,delayed previously,<1,46,M,1066,own,1,<100,0
ACC000000000343,0<=X<200,delayed previously,>=7,40,M,975,rent,1,<100,1
ACC000000000344,no checking,critical/other existing credit,1<=X<4,45,M,3053,own,2,<100,0
ACC000000000345,no checking,delayed previously,4<=X<7,52,M,1022,own,3,<100,0
ACC000000000346,no checking,critical/other existing credit,>=7,36,M,618,own,2,100<=X<500,0
ACC000000000347,no checking,all paid,>=7,35,M,473,own,1,<100,0
ACC000000000348,0<=X<200,critical/other existing credit,>=7,20,M,1713,free,2,no known savings,0
ACC000000000349,no checking,existing paid,>=7,43,M,905,free,1,<100,0
ACC000000000350,<0,delayed previously,>=7,43,M,18500,own,2,<100,0
ACC000000000352,<0,critical/other existing credit,>=7,28,M,6102,own,1,100<=X<500,1
ACC000000000354,no checking,existing paid,<1,35,M,3591,free,1,<100,0
ACC000000000355,no checking,delayed previously,<1,25,M,760,own,1,<100,0
ACC000000000356,<0,critical/other existing credit,4<=X<7,34,M,4997,rent,2,<100,1
ACC000000000357,0<=X<200,existing paid,4<=X<7,28,M,8144,own,1,<100,1
ACC000000000358,0<=X<200,existing paid,4<=X<7,47,F,2702,own,2,100<=X<500,0
ACC000000000359,0<=X<200,existing paid,<1,31,M,3197,free,1,<100,1
ACC000000000360,no checking,existing paid,>=7,19,M,1062,rent,1,<100,0
ACC000000000361,<0,existing paid,4<=X<7,44,M,3529,own,1,>=1000,0
ACC000000000362,<0,existing paid,>=7,20,M,1868,own,2,100<=X<500,1
ACC000000000363,no checking,all paid,>=7,19,M,5228,own,2,<100,0
ACC000000000364,no checking,existing paid,<1,31,F,7737,own,1,<100,0
ACC000000000365,no checking,existing paid,1<=X<4,31,M,2261,own,1,<100,1
ACC000000000366,no checking,no credits/all paid,<1,33,M,2229,own,1,no known savings,0
ACC000000000368,0<=X<200,existing paid,>=7,40,M,8267,own,1,<100,0
ACC000000000369,no checking,critical/other existing credit,1<=X<4,35,M,1576,free,1,<100,0
